Name,JD,P[%],sP[%],PA[deg],sPA[deg],q,sq,u,su,ra,dec,gaia_id,l,b,rp_obslist,match_sep_arcsec,matched,has_coords
Mark_192,2460459.37755,0.26,0.03,68.16,2.8,-0.00188,0.0002,0.00179,0.0003,196.62993,20.90077,3943247618063320576,332.66589,82.88495,10.4,0.0,True,True
Mark_193,2460460.37663,0.57,0.09,62.76,4.35,-0.00331,0.00035,0.00464,0.00102,195.53589,21.06934,3944041912135238272,325.45289,83.46775,12.28,0.0,True,True
Mark_198,2460459.29594,0.45,0.07,48.34,4.88,-0.00052,0.001,0.00444,0.00074,179.67728,16.81602,3926192680888089088,250.43287,74.02842,12.08,0.0,True,True
Mark_200,2460438.31478,0.26,0.06,49.47,7.04,-0.0004,0.00103,0.00257,0.0006,179.17484,17.17295,3926277446362587136,248.31189,73.9053,10.9,0.0,True,True
Mark_206,2460460.42962,0.25,0.05,66.4,5.4,-0.00169,0.00055,0.00183,0.00036,199.19226,21.83499,3943645916150426880,351.72075,82.17749,10.27,0.0,True,True
Mark_207,2460461.36448,0.25,0.04,72.05,4.22,-0.00204,0.00031,0.00148,0.00045,188.71802,20.24956,3949160722878384768,273.20333,82.1469,9.98,0.0,True,True
Mark_212,2460426.39333,0.11,0.13,16.22,61.44,0.00093,0.00126,0.00059,0.00126,174.04788,16.17833,3972671064618294272,241.20453,69.41255,12.17,0.0,True,True
Mark_216,2460438.37881,0.33,0.04,38.47,3.31,0.00074,0.00116,0.00321,0.00028,185.22177,18.36675,3947190428104948096,262.5835,78.76533,11.58,0.0,True,True
Mark_217,2460461.41376,0.3,0.06,48.78,6.13,-0.00039,0.00034,0.00293,0.00062,195.918,21.60229,3944093245584375680,330.33467,83.81222,12.06,0.0,True,True
Mark_219,2460432.33096,0.19,0.08,36.69,13.44,0.00055,0.00135,0.00186,0.00073,178.69035,16.60255,3926131932870192384,248.76378,73.1815,11.68,0.0,True,True
Mark_221_merged,2460460.39272,0.45,0.04,53.82,2.31,-0.00136,0.00049,0.0043,0.00035,196.43092,21.19197,3943398869631331456,332.44635,83.22932,11.08,0.0,True,True
Mark_222,2460460.36897,0.3,0.05,60.39,4.58,-0.00155,0.0005,0.00261,0.00047,193.55878,20.50641,3942636323957434880,308.59478,83.34738,11.44,0.0,True,True
Mark_223,2460459.32691,0.28,0.03,50.13,3.12,-0.00051,0.00065,0.0028,0.00029,184.88745,18.07525,3947155381171521408,262.20875,78.34073,11.67,0.0,True,True
Mark_225,2460460.40006,0.26,0.08,37.77,9.51,0.00064,0.00055,0.00249,0.00081,197.23097,22.05471,3943842763091327232,341.94318,83.55615,12.21,0.0,True,True
Mark_230_merged,2460460.37255,0.55,0.05,74.06,2.49,-0.00465,0.00043,0.0029,0.00058,195.31955,20.94358,3944045137654653056,323.41049,83.42048,12.14,0.0,True,True
Mark_233,2460432.3718,0.11,0.09,51.82,61.44,-0.00027,0.00091,0.00111,0.0009,184.23959,18.59977,3950247040365921280,258.20674,78.35425,8.77,0.0,True,True
Mark_234,2460460.42097,0.19,0.05,60.18,7.06,-0.00098,0.00052,0.00167,0.00044,198.82893,21.44806,3943515830181208704,347.96803,82.13702,9.72,0.0,True,True
Mark_236,2460459.343,0.2,0.06,15.9,9.61,0.00171,0.00064,0.00106,0.00059,189.40477,22.63134,3955799157473550976,267.31519,84.5195,12.24,0.0,True,True
Mark_238,2460460.32343,0.22,0.1,60.9,15.92,-0.00116,0.00105,0.00187,0.00104,184.89882,17.43383,3946557044983708544,264.10858,77.83298,12.38,0.0,True,True
Mark_240,2460460.31032,0.23,0.04,32.55,5.28,0.00099,0.00044,0.00213,0.00042,184.3497,19.55028,3950456531690771072,255.28978,79.12253,10.93,0.0,True,True
Mark_242,2460459.39128,0.23,0.09,66.86,11.87,-0.00158,0.00079,0.00165,0.00091,197.9319,20.97835,3943110900664214656,340.98516,82.30317,11.12,0.0,True,True
Mark_243,2460438.30622,0.4,0.07,47.89,4.72,-0.00041,0.00086,0.00402,0.00065,178.97321,16.09546,3926048988461803392,250.68601,73.04354,11.74,0.0,True,True
Mark_245,2460438.33731,0.86,0.04,63.61,1.2,-0.00519,0.00033,0.00683,0.00038,179.55417,16.23754,3925386189108901760,251.65759,73.54709,9.65,0.0,True,True
Mark_248,2460432.3248,0.36,0.09,37.5,7.45,0.00094,0.00097,0.00352,0.0009,174.27348,15.68174,3972502839339169024,242.70583,69.29642,10.41,0.0,True,True
Mark_256,2460432.34369,0.51,0.1,55.22,5.88,-0.00177,0.00126,0.00475,0.00098,178.80675,16.90822,3926242743026796032,248.21251,73.4658,11.13,0.0,True,True
Mark_259,2460461.31939,0.51,0.07,52.2,3.96,-0.00127,0.00067,0.00493,0.0007,185.06711,18.59069,3947245682859954560,261.2776,78.8515,12.38,0.0,True,True
Mark_261,2460431.2893,0.2,0.12,-86.42,22.92,-0.00198,0.00121,-0.00025,0.00131,173.92517,16.22557,3972673809101621760,240.90215,69.34345,11.83,0.0,True,True
Mark_263_merged,2460460.40778,0.06,0.03,73.65,14.97,-0.00055,0.0003,0.00035,0.00027,197.93994,21.26627,3943541599984583168,342.33302,82.52971,11.77,0.0,True,True
Mark_264,2460431.27584,0.4,0.14,34.18,10.82,0.00146,0.00054,0.00368,0.00146,172.38141,16.22388,3967385093748323328,238.60931,68.11628,12.35,0.0,True,True
Mark_269,2460460.34099,0.61,0.08,59.32,3.77,-0.00292,0.00046,0.00535,0.00087,185.14743,18.55286,3947241765849806464,261.70804,78.86917,12.27,0.0,True,True
Mark_272,2460461.33587,0.28,0.06,46.3,6.76,-0.00013,0.00071,0.00283,0.00065,185.61534,18.53669,3947290792900428672,263.60702,79.12555,11.55,0.0,True,True
Mark_273,2460432.318,0.25,0.07,43.78,8.03,0.0001,0.00085,0.00245,0.00065,174.25673,15.47786,3972305373922180608,243.13858,69.16125,10.28,0.0,True,True
Mark_274,2460459.30888,0.44,0.06,84.56,3.87,-0.00428,0.00058,0.00082,0.00065,179.92549,17.12649,3926582011083609856,250.1763,74.41297,12.32,0.0,True,True
Mark_275,2460459.31923,0.16,0.07,12.68,14.98,0.00147,0.00072,0.0007,0.00076,184.08626,18.35714,3950225428090483968,258.45385,78.07592,12.26,0.0,True,True
Mark_276,2460461.34036,0.32,0.04,45.97,3.68,-0.00011,0.00043,0.00316,0.0004,185.66374,18.43422,3947271590102586880,264.12315,79.07007,12.41,0.0,True,True
Mark_277,2460432.33698,0.25,0.07,39.97,8.07,0.00044,0.00092,0.00246,0.00066,178.80257,16.72225,3926134784728480256,248.69603,73.34119,10.54,0.0,True,True
Mark_281,2460459.37435,0.31,0.1,52.81,9.33,-0.00085,0.00083,0.00302,0.00097,196.00069,21.20325,3943314791351751296,329.40461,83.41918,11.01,0.0,True,True
Mark_282,2460460.36083,0.38,0.09,61.65,6.81,-0.00207,0.00076,0.00315,0.0009,191.05409,21.70998,3954711023214738688,285.67342,84.33813,12.17,0.0,True,True
Mark_284,2460459.41745,0.28,0.09,56.06,10.29,-0.00105,0.00152,0.00258,0.00078,199.64702,20.95893,3940516667402643328,349.50112,81.25834,12.1,0.0,True,True
Mark_285,2460459.3617,0.3,0.08,53.58,7.9,-0.00087,0.00101,0.00283,0.00075,193.8681,21.30298,3942841176718145408,312.11662,84.10265,12.14,0.0,True,True
Mark_289,2460460.39614,0.24,0.09,30.89,12.21,0.00112,0.00081,0.00208,0.00093,196.73454,21.68843,3943450203080467200,336.72437,83.51713,11.93,0.0,True,True
Mark_290,2460460.36506,0.23,0.06,50.76,7.49,-0.00045,0.0002,0.00223,0.00058,192.14723,19.79486,3942175078829916800,297.69504,82.63763,12.16,0.0,True,True
Mark_294,2460461.3242,0.17,0.08,27.51,15.41,0.00098,0.00117,0.00139,0.00049,185.26663,19.91669,3951981107642044928,257.36012,79.98187,12.47,0.0,True,True
Mark_295,2460461.34499,0.3,0.04,49.47,4.03,-0.00047,0.00041,0.00299,0.00042,185.76147,19.00018,3947372843955729536,262.69655,79.57907,11.7,0.0,True,True
Mark_297,2460431.51647,0.11,0.09,2.85,61.44,0.00112,0.00093,0.00011,0.00092,199.78589,21.63083,3940624733074959360,353.34143,81.6355,12.09,0.0,True,True
Mark_298,2460461.34905,0.25,0.03,35.12,3.55,0.00085,0.00043,0.00238,0.00029,185.86821,20.17248,3951968738136265344,258.83728,80.54975,10.08,0.0,True,True
Mark_301,2460459.37111,0.17,0.03,42.11,5.99,0.00017,0.0004,0.00169,0.00035,195.3929,21.76202,3944154818235478272,326.72501,84.1597,9.58,0.0,True,True
Mark_302,2460460.35114,0.29,0.09,73.27,9.49,-0.00239,0.00099,0.00158,0.00056,185.33888,19.54846,3950422824787515520,259.04153,79.75223,11.38,0.0,True,True
